
Ngày,Lượng truy cập của a,Lượng truy cập của b,chênh lệch giữa a và b mỗi ngày
2025-01-27,1638,4964,3326

ngày của top 5 chiến dịch a,top 5 chiến dịch a,ngày của top 5 chiến dịch b,top 5 chiến dịch b
2025-01-06,5715,2025-01-19,6565
2025-01-13,4841,2025-01-04,5994
2025-01-21,4630,2025-01-11,5110
2025-01-12,2940,2025-01-27,4964
2025-01-02,2901,2025-01-18,2685

độ lệch chuẩn của chiến dịch a, giá trị lớn nhất của a,giá trị nhỏ nhất của a,vị trí giá trị lớn nhất của a,vị trí giá trị nhỏ nhất của a
1169.9370524377227,5715.0,585.0,5.0,8.0,1507.9730122106148,6565.0,443.0,18.0,24.0

độ lệch chuẩn của chiến dịch b,giá trị lớn nhất của b,giá trị nhỏ nhất của b,vị trí giá trị lớn nhất của b,vị trí giá trị nhỏ nhất của b
1507.9730122106148,6565.0,443.0,18.0,24.0

Ngày,Lượng truy cập của a,Lượng truy cập của b,chênh lệch giữa a và b mỗi ngày
2025-01-01,1749,2436,-687
2025-01-02,2901,1479,1422
2025-01-03,2464,1086,1378
2025-01-04,2197,5994,-3797
2025-01-05,1312,1736,-424
2025-01-06,5715,1132,4583
2025-01-07,1116,1841,-725
2025-01-08,2732,965,1767
2025-01-09,585,2628,-2043
2025-01-10,2416,1392,1024
2025-01-11,1041,5110,-4069
2025-01-12,2940,1492,1448
2025-01-13,4841,1888,2953
2025-01-14,1425,1939,-514
2025-01-15,1364,1251,113
2025-01-16,1367,497,870
2025-01-17,1608,2373,-765
2025-01-18,2050,2685,-635
2025-01-19,1864,6565,-4701
2025-01-20,1582,2036,-454
2025-01-21,4630,2652,1978
2025-01-22,1279,1068,211
2025-01-23,590,1272,-682
2025-01-24,1733,986,747
2025-01-25,1912,443,1469
2025-01-26,2570,1638,932
2025-01-27,1399,4964,-3565
2025-01-28,2028,2475,-447
2025-01-29,2185,1578,607
2025-01-30,1093,1434,-341

biến động của chiến dịch a,biến động của chiến dịch b
1152,-957
-437,-393
-267,4908
-885,-4258
4403,-604
-4599,709
1616,-876
-2147,1663
1831,-1236
-1375,3718
1899,-3618
1901,396
-3416,51
-61,-688
3,-754
241,1876
442,312
-186,3880
-282,-4529
3048,616
-3351,-1584
-689,204
1143,-286
179,-543
658,1195
-1171,3326
629,-2489
157,-897
-1092,-144

5 ngày đầu chiến dịch a,số lượng truy cập 5 ngày đầu của chiến dịch a,5 ngày cuối chiến dịch a,số lượng truy cập 5 ngày cuối của chiến dịch a,5 ngày đầu chiến dịch b,số lượng truy cập 5 ngày đầu của chiến dịch b,5 ngày cuối chiến dịch b,số lượng truy cập 5 ngày cuối của chiến dịch b
2025-01-01,1749,2025-01-26,2570,2025-01-01,2436,2025-01-26,1638
2025-01-02,2901,2025-01-27,1399,2025-01-02,1479,2025-01-27,4964
2025-01-03,2464,2025-01-28,2028,2025-01-03,1086,2025-01-28,2475
2025-01-04,2197,2025-01-29,2185,2025-01-04,5994,2025-01-29,1578
2025-01-05,1312,2025-01-30,1093,2025-01-05,1736,2025-01-30,1434

bảy ngày đầu a,số lượng 7 ngày đầu a,bảy ngày giữa a,số lượng 7 ngày giữa a,bảy ngày cuối a,số lượng 7 ngày cuối a,bảy ngày đầu b,số lượng 7 ngày đầu b,bảy ngày giữa b,số lượng 7 ngày giữa b,bảy ngày cuối b,số lượng 7 ngày cuối b
2025-01-01,1749,2025-01-08,2732,2025-01-24,1733,2025-01-01,2436,2025-01-08,965,2025-01-24,986
2025-01-02,2901,2025-01-09,585,2025-01-25,1912,2025-01-02,1479,2025-01-09,2628,2025-01-25,443
2025-01-03,2464,2025-01-10,2416,2025-01-26,2570,2025-01-03,1086,2025-01-10,1392,2025-01-26,1638
2025-01-04,2197,2025-01-11,1041,2025-01-27,1399,2025-01-04,5994,2025-01-11,5110,2025-01-27,4964
2025-01-05,1312,2025-01-12,2940,2025-01-28,2028,2025-01-05,1736,2025-01-12,1492,2025-01-28,2475
2025-01-06,5715,2025-01-13,4841,2025-01-29,2185,2025-01-06,1132,2025-01-13,1888,2025-01-29,1578
2025-01-07,1116,2025-01-14,1425,2025-01-30,1093,2025-01-07,1841,2025-01-14,1939,2025-01-30,1434

ngày,số lượng truy cập a,số lượng truy cập b,chiến dịch a cao hơn b
20090,2901,1479,1422
20091,2464,1086,1378
20094,5715,1132,4583
20096,2732,965,1767
20098,2416,1392,1024
20100,2940,1492,1448
20101,4841,1888,2953
20103,1364,1251,113
20104,1367,497,870
20109,4630,2652,1978
20110,1279,1068,211
20112,1733,986,747
20113,1912,443,1469
20114,2570,1638,932
20117,2185,1578,607

ngày,số lượng hôm trc,số lượng hôm nay,tăng
2025-01-04,1086,5994,4908
2025-01-11,1392,5110,3718
2025-01-19,2685,6565,3880
2025-01-27,1638,4964,3326

ngày của top 5 chiến dịch a,top 5 chiến dịch a,ngày của top 5 chiến dịch b,top 5 chiến dịch b
2025-01-06,5715,2025-01-19,6565
2025-01-13,4841,2025-01-04,5994
2025-01-21,4630,2025-01-11,5110
2025-01-12,2940,2025-01-27,4964
2025-01-02,2901,2025-01-18,2685

độ lệch chuẩn của chiến dịch a, giá trị lớn nhất của a,giá trị nhỏ nhất của a,vị trí giá trị lớn nhất của a,vị trí giá trị nhỏ nhất của a
1169.9370524377227,5715.0,585.0,5.0,8.0,1507.9730122106148,6565.0,443.0,18.0,24.0

độ lệch chuẩn của chiến dịch b,giá trị lớn nhất của b,giá trị nhỏ nhất của b,vị trí giá trị lớn nhất của b,vị trí giá trị nhỏ nhất của b
1507.9730122106148,6565.0,443.0,18.0,24.0
